Recipe Name,Cusine,Dish Type,INGREDIENTS,Preparation Time,Cooking Time,Preparation Steps,Cooking Steps,Img URL,Total Time
Plain Roti,Indian,Flatbread,"WHEAT FLOUR, WATER, SALT",10,5,"1. In a large mixing bowl, combine 1 cup wheat flour and 0.5 tsp salt. 2. Gradually add 0.5 cup water in small portions while mixing the flour with your hand or spoon. Continue adding water until the dough comes together into a smooth, soft consistency. 3. Knead the dough for about 5-7 minutes until it becomes smooth and elastic.","1. Divide the dough into 8-10 small equal-sized balls. 2. Roll each ball between your palms to form a smooth, round shape. 3. On a clean, flat surface, dust the surface lightly with flour. Roll each ball into a round shape about 6-8 inches in diameter. 4. Heat a tawa or griddle on medium heat. Place the roti on the tawa and cook for 1-2 minutes until bubbles form. Flip the roti and press gently with a cloth or spatula to help it puff up. Cook the second side for 1-2 minutes until golden brown spots appear. 5. Serve hot with curry or raita.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7PttQWZ6RSf11x1UnY2VYP3bhHCjrYYxULw&s,15
Tandoori Roti,Indian,Flatbread,"WHEAT FLOUR, YOGURT, BAKING POWDER, SALT, WATER",15,8,"1. In a large mixing bowl, combine 1 cup wheat flour, 0.5 tsp salt, and 0.5 tsp baking powder. 2. Add 2 tbsp yogurt and mix. Gradually add 0.5 cup water to form a smooth dough. 3. Knead the dough for about 5-7 minutes. 4. Cover the dough with a damp cloth and let it rest for 10-15 minutes.",1. Preheat the tandoor or oven to 250°C (482°F). 2. Divide the dough into 8 small balls and roll each ball into a flat circle. 3. Place the rolled-out dough on a damp cloth or stick it to the sides of the tandoor. 4. Cook for 3-4 minutes until the roti is golden brown and slightly charred. 5. Brush with ghee or butter and serve hot.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsvL085SjADnnuvkRZU2pF8EPmMufyzE30Mw&s,23
Butter Naan,Indian,Flatbread,"WHEAT FLOUR, YOGURT, BAKING POWDER, SALT, WATER, BUTTER",12,7,"1. Combine 1 cup wheat flour, 0.5 tsp salt, and 0.5 tsp baking powder in a bowl. 2. Add 2 tbsp yogurt and 2 tbsp melted butter. Gradually add 0.5 cup water to form a smooth dough. 3. Knead for 5-7 minutes. Cover and let it rest for 10-15 minutes.","1. Preheat a tawa or griddle on medium-high heat. 2. Divide the dough into small balls and roll them out into a round shape. 3. Cook each side on the tawa for 2 minutes, flipping when bubbles appear. 4. Brush the naan with butter immediately after cooking. 5. Serve hot with curry or dal.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLZ7K3zDimLSh_zPQzYJpxsLuKFFlohsgjhQ&s,19
Garlic Naan,Indian,Flatbread,"WHEAT FLOUR, YOGURT, BAKING POWDER, SALT, WATER, GARLIC, BUTTER",12,8,"1. In a large mixing bowl, combine 1 cup wheat flour, 0.5 tsp salt, and 0.5 tsp baking powder. 2. Add 2 tbsp yogurt and 2 tbsp melted butter. Gradually add 0.5 cup water to form a smooth dough. 3. Knead for 5-7 minutes and let it rest for 10-15 minutes.","1. Chop 2-3 garlic cloves and mix into the dough. 2. Preheat the tawa or griddle on medium-high heat. 3. Divide the dough into small balls, roll them out, and cook each side for 2 minutes, flipping when bubbles appear. 4. Brush with butter and garlic mixture. 5. Serve hot.",https://www.cookwithmanali.com/wp-content/uploads/2018/09/Garlic-Naan-500x500.jpg,20
Lachha Paratha,Indian,Flatbread,"WHEAT FLOUR, GHEE, SALT, WATER",15,10,1. Combine 1 cup wheat flour and 0.5 tsp salt in a bowl. Gradually add 0.5 cup water and knead to form a smooth dough. 2. Rest the dough for 10-15 minutes.,"1. Divide the dough into equal balls. 2. Roll each ball into a flat circle. 3. Apply ghee, fold, and roll again into a ball. 4. Roll out again and cook each side on a tawa for 2 minutes. 5. Brush with ghee and serve hot.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpbO-fETdav2oxzc8sJGtaChyhBYbsyYDORg&s,25
Aloo Paratha,Indian,Flatbread,"WHEAT FLOUR, POTATO, SALT, GREEN CHILIES, CORIANDER",15,12,"1. Boil 2 medium potatoes and mash them. 2. Add 0.5 tsp salt, chopped green chili, and coriander leaves to the mashed potatoes. 3. Combine 1 cup wheat flour, 0.5 tsp salt, and water to form a dough. Rest for 10-15 minutes.",1. Divide the dough into small balls and stuff with the potato mixture. 2. Roll out into a flat circle and cook on a tawa for 2-3 minutes on each side. 3. Serve hot with yogurt or pickle.,https://cookingfromheart.com/wp-content/uploads/2020/09/Aloo-Paratha-4.jpg,27
Gobi Paratha,Indian,Flatbread,"WHEAT FLOUR, CAULIFLOWER, SALT, GREEN CHILIES, CORIANDER",15,12,"1. Grate 1 small cauliflower and squeeze out the excess water. 2. Add 0.5 tsp salt, chopped green chili, and coriander leaves. 3. Make a dough with 1 cup wheat flour, 0.5 tsp salt, and water. Rest for 10-15 minutes.","1. Divide the dough into small balls, stuff with the cauliflower mixture, and roll out into a flat circle. 2. Cook on a tawa for 2-3 minutes on each side. 3. Serve hot with yogurt or pickle.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBXmu2UfjQ1LKmoIoZi3bxk402GwXqAN6DQw&s,27
Paneer Paratha,Indian,Flatbread,"WHEAT FLOUR, PANEER, SALT, GREEN CHILIES, CORIANDER",15,12,"1. Grate 100g paneer and add 0.5 tsp salt, chopped green chili, and coriander leaves. 2. Combine 1 cup wheat flour, 0.5 tsp salt, and water to form a dough. Rest for 10-15 minutes.","1. Stuff the dough balls with the paneer mixture, roll out into a flat circle, and cook on a tawa for 2-3 minutes on each side. 2. Serve hot with yogurt or pickle.",https://parcelkaro.in/wp-content/uploads/2023/01/Aloo-Paneer-paratha.webp,27
Methi Paratha,Indian,Flatbread,"WHEAT FLOUR, FENUGREEK LEAVES, SALT, WATER",15,10,"1. Wash and chop 1 cup fenugreek leaves (methi). 2. Combine with 1 cup wheat flour, 0.5 tsp salt, and water to form a dough. Rest for 10-15 minutes.","1. Divide the dough into small balls, roll them out, and cook on a tawa for 2-3 minutes on each side. 2. Serve hot with yogurt or pickle.",https://www.ohmyveg.co.uk/wp-content/uploads/2024/05/methi-parathas-4-900x1200.jpg,25
Missi Roti,Indian,Flatbread,"WHEAT FLOUR, GRAM FLOUR, SALT, AJWAIN, CUMIN, WATER",15,8,"1. Combine 1 cup wheat flour and 0.5 cup gram flour with 0.5 tsp salt, ajwain, and cumin. Gradually add water to form a dough. Knead for 5-7 minutes. Rest for 10-15 minutes.","1. Divide the dough into small balls, roll them out, and cook on a tawa for 2 minutes on each side. 2. Serve hot with yogurt or pickle.",https://img-global.cpcdn.com/recipes/9f37646ed0a28ebf/400x400cq70/photo.jpg,23
